Age,Education,Degree,Skills,Technical Skills,Soft Skills,Work Experience,Interests,Career Interests,Personality/Strengths,Preferred Work Environment,Salary Expectation,Location Preference,Work-Life Balance Preference,Recommended_Career
21,Diploma,BBA,"Creativity, Programming","SQL, Excel, Power BI","Communication, Creativity, Teamwork",1 year,"Business, Analytics",Data Analytics,"Analytical, Curious",Remote,68921,Mumbai,Medium,Data Analyst
34,Diploma,B.Sc,"Research, Analysis","Python, SPSS, Research Methods","Creativity, Adaptability, Critical Thinking",13 years,"Education, Research",Research,"Analytical, Curious",Hybrid,84355,Ahmedabad,Low,Academic Researcher
21,Diploma,Diploma in Management,"Research, Programming","SQL, Excel, Power BI","Creativity, Adaptability, Critical Thinking",0 years,"Business, Analytics",Machine Learning,"Curious, Analytical",Hybrid,76422,Mumbai,High,Data Analyst
24,Undergraduate,MCA,"Research, Communication","Python, SPSS, Research Methods","Communication, Creativity, Teamwork",1 year,"Education, Research",Research,"Detail Oriented, Analytical",Remote,77119,Remote,High,Academic Researcher
32,Postgraduate,MA,"Research, Creativity","Adobe XD, UI Design, Figma","Creativity, Adaptability, Critical Thinking",1 year,"Data Science, Technology",Machine Learning,"Creative, Detail Oriented",Remote,81953,Bangalore,Medium,UI/UX Designer
34,Diploma,BCA,"Research, Programming","Python, SQL, TensorFlow","Teamwork, Creativity, Adaptability",5 years,"Analytics, Data Science",Business Analytics,"Curious, Analytical",Hybrid,106840,Bangalore,Low,Data Scientist
39,Diploma,BA,"Analysis, Programming","SQL, Excel, Power BI","Teamwork, Time Management, Problem Solving",0 years,"Analytics, Data Science",Machine Learning,"Curious, Analytical",Remote,110055,Mumbai,Medium,Data Scientist
36,Undergraduate,MA,"Creativity, Programming","Python, Machine Learning, Statistics","Leadership, Time Management, Critical Thinking",15 years,"Data Science, Technology",Data Science,"Curious, Analytical",Office,86243,Mumbai,Medium,Data Scientist
22,Diploma,BBA,"Research, Programming","SEO, Digital Marketing, Excel, UI Design","Problem Solving, Communication",2 years,"Business Intelligence, Analytics",UI/UX Design,"Analytical, Curious",Remote,79016,Mumbai,Low,Data Analyst
39,Postgraduate,MA,"Creativity, Programming","SQL, Tableau, Excel","Teamwork, Creativity, Adaptability",4 years,"Branding, Social Media",Creative Design,"Detail Oriented, Analytical",Hybrid,60710,Ahmedabad,High,Academic Researcher
35,Diploma,B.Des,"Analysis, Programming","Python, SQL, Excel, MS Office","Problem Solving, Communication",7 years,"Business Intelligence, Analytics",Business Analytics,"Analytical, Curious",Office,86782,Hyderabad,High,Data Analyst
20,Diploma,MBA,"Leadership, Programming","Python, Machine Learning, Statistics","Teamwork, Creativity, Adaptability",0 years,"Analytics, Data Science",Research,"Analytical, Innovative",Hybrid,65110,Remote,High,Data Scientist
45,Diploma,Diploma in Computer,"Creativity, Communication","Figma, UI Design, Adobe XD","Problem Solving, Communication",6 years,"Marketing, Branding",Marketing,"Curious, Analytical",Hybrid,83530,Pune,Low,Marketing Manager
41,Postgraduate,BBA,"Research, Analysis","Research Methods, SPSS, Python, Power BI","Teamwork, Time Management, Problem Solving",5 years,"Research, Education",Academic Research,"Detail Oriented, Analytical",Hybrid,80043,Delhi,High,Academic Researcher
29,Diploma,MBA,"Creativity, Programming","Python, SQL, Excel, MS Office","Communication, Creativity, Teamwork",8 years,"Business Intelligence, Analytics",Business Analytics,"Curious, Analytical",Hybrid,63854,Hyderabad,High,Data Analyst
35,Undergraduate,Diploma in Management,"Creativity, Communication","SQL, Excel, Power BI","Teamwork, Creativity, Adaptability",12 years,"Education, Research",Research,"Detail Oriented, Analytical",Hybrid,87487,Mumbai,High,Academic Researcher
44,Postgraduate,BA,"Research, Programming","Python, SPSS, Research Methods","Teamwork, Time Management, Problem Solving",14 years,"Analytics, Data Science",Machine Learning,"Analytical, Innovative",Hybrid,108961,Mumbai,Low,Data Scientist
42,Diploma,Diploma in Computer,"Creativity, Programming","SQL, Tableau, Excel","Creativity, Adaptability, Critical Thinking",9 years,"Business Intelligence, Analytics",Business Analytics,"Detail Oriented, Analytical",Office,61322,Hyderabad,Medium,Data Analyst
32,Postgraduate,MA,"Research, Analysis","SEO, Digital Marketing, Excel, UI Design","Problem Solving, Communication",12 years,"Research, Education",Research,"Curious, Analytical",Office,67081,Delhi,High,Academic Researcher
27,Diploma,MBA,"Research, Communication","Python, SPSS, Research Methods","Teamwork, Time Management, Problem Solving",4 years,"Business Intelligence, Analytics",Research,"Detail Oriented, Analytical",Office,65921,Remote,Low,Academic Researcher
34,Diploma,B.Com,"Research, Creativity","Figma, Photoshop, Canva","Problem Solving, Communication",2 years,"Design, User Experience",Creative Design,"Creative, Detail Oriented",Office,81665,Remote,Medium,UI/UX Designer
44,Diploma,MA,"Creativity, Programming","Python, SQL, Excel, MS Office","Creativity, Adaptability, Critical Thinking",1 year,"Business Intelligence, Analytics",Data Analytics,"Detail Oriented, Analytical",Hybrid,90437,Ahmedabad,High,Data Analyst
44,Undergraduate,MA,"Research, Programming","SQL, Excel, Power BI","Creativity, Adaptability, Critical Thinking",5 years,"Business Intelligence, Analytics",Creative Design,"Detail Oriented, Analytical",Office,85163,Pune,Low,Data Analyst
31,Postgraduate,Diploma in Management,"Research, Programming","SQL, Tableau, Excel","Problem Solving, Communication",8 years,"Business, Analytics",Business Analytics,"Creative, Detail Oriented",Remote,86601,Hyderabad,Low,Data Analyst
39,Postgraduate,MBA,"Research, Programming","Machine Learning, Python, SQL","Problem Solving, Communication",15 years,"Data Science, Technology",Machine Learning,"Analytical, Innovative",Hybrid,105890,Bangalore,Low,Data Scientist
35,Diploma,MCA,"Research, Creativity","Figma, UI Design, Adobe XD","Teamwork, Creativity, Adaptability",6 years,"Creative Design, User Experience",Creative Design,"Innovative, Empathetic",Office,78334,Hyderabad,High,UI/UX Designer
45,Diploma,MA,"Programming, Research","Research Methods, SPSS, Python, Power BI","Leadership, Time Management, Critical Thinking",0 years,"Research, Education",Research,"Detail Oriented, Analytical",Hybrid,39907,Bangalore,Medium,Academic Researcher
30,Diploma,BBA,"Design, Communication","Figma, UI Design, Adobe XD","Creativity, Adaptability, Critical Thinking",1 year,"Data Science, Technology",UI/UX Design,"Creative, Detail Oriented",Remote,73530,Bangalore,Low,UI/UX Designer
28,Diploma,Diploma in Management,"Research, Creativity","Adobe XD, UI Design, Figma","Creativity, Adaptability, Critical Thinking",0 years,"Creative Design, User Experience",Research,"Innovative, Empathetic",Remote,68308,Remote,Medium,UI/UX Designer
22,Postgraduate,MBA,"Research, Creativity","SQL, Tableau, Excel","Teamwork, Time Management, Problem Solving",1 year,"Business, Analytics",Data Analytics,"Creative, Detail Oriented",Remote,70713,Delhi,High,Data Analyst
29,Postgraduate,BCA,"Programming, Research","Research Methods, SPSS, Python, Power BI","Teamwork, Creativity, Adaptability",9 years,"Research, Education",Data Science,"Analytical, Curious",Remote,50142,Ahmedabad,High,Academic Researcher
33,Diploma,M.Sc,"Research, Programming","Python, SQL, Excel, MS Office","Teamwork, Time Management, Problem Solving",7 years,"Business Intelligence, Analytics",Business Analytics,"Analytical, Curious",Office,56166,Delhi,Low,Data Analyst
27,Postgraduate,BA,"Research, Analysis","SEO, Digital Marketing, Excel, UI Design","Problem Solving, Communication",2 years,"Marketing, Branding",UI/UX Design,"Creative, Persuasive",Hybrid,85065,Bangalore,High,Marketing Manager
22,Postgraduate,B.Com,"Research, Analysis","Python, SPSS, Research Methods","Teamwork, Creativity, Adaptability",2 years,"Analytics, Data Science",Academic Research,"Analytical, Curious",Hybrid,52733,Pune,High,Academic Researcher
38,Diploma,MA,"Research, Creativity","SPSS, Excel, Statistics","Leadership, Time Management, Critical Thinking",13 years,"Research, Education",Creative Design,"Innovative, Empathetic",Hybrid,108069,Mumbai,Medium,UI/UX Designer
21,Postgraduate,B.Des,"Creativity, Programming","SEO, Google Analytics, Social Media","Teamwork, Time Management, Problem Solving",1 year,"Branding, Social Media",Digital Marketing,"Creative, Persuasive",Hybrid,54960,Mumbai,Medium,Marketing Manager
28,Postgraduate,B.Com,"Creativity, Communication","Figma, UI Design, Adobe XD","Teamwork, Time Management, Problem Solving",8 years,"Creative Design, User Experience",Creative Design,"Analytical, Innovative",Hybrid,57723,Remote,Low,UI/UX Designer
23,Diploma,BBA,"Research, Communication","SPSS, Excel, Statistics","Teamwork, Time Management, Problem Solving",1 year,"Education, Research",Academic Research,"Creative, Detail Oriented",Office,38259,Mumbai,Low,Academic Researcher
44,Postgraduate,Diploma in Management,"Leadership, Programming","Figma, Photoshop, Canva","Creativity, Adaptability, Critical Thinking",13 years,"Marketing, Branding",Machine Learning,"Analytical, Innovative",Hybrid,110259,Pune,High,Data Scientist
26,Diploma,B.Com,"Leadership, Programming","Python, Machine Learning, Statistics","Teamwork, Creativity, Adaptability",5 years,"Analytics, Data Science",Machine Learning,"Analytical, Innovative",Office,80027,Pune,Medium,Data Scientist
23,Postgraduate,BCA,"Research, Programming","Python, SPSS, Research Methods","Creativity, Adaptability, Critical Thinking",3 years,"Research, Education",Research,"Detail Oriented, Analytical",Office,56319,Delhi,High,Academic Researcher
37,Diploma,B.Sc,"Creativity, Communication","SPSS, Excel, Statistics","Problem Solving, Communication",1 year,"Education, Research",Research,"Analytical, Curious",Hybrid,36809,Remote,Low,Academic Researcher
31,Postgraduate,M.Sc,"Research, Programming","Python, SQL, TensorFlow","Teamwork, Creativity, Adaptability",5 years,"Data Science, Technology",Data Science,"Curious, Analytical",Hybrid,100406,Pune,Low,Data Scientist
34,Postgraduate,Diploma in Computer,"Research, Programming","SEO, Google Analytics, Social Media","Problem Solving, Communication",4 years,"Education, Research",Machine Learning,"Analytical, Innovative",Hybrid,94223,Hyderabad,Medium,Data Scientist
23,Postgraduate,MA,"Programming, Research","Python, SPSS, Research Methods","Leadership, Time Management, Critical Thinking",1 year,"Education, Research",Academic Research,"Analytical, Curious",Hybrid,56510,Delhi,Low,Academic Researcher
40,Undergraduate,BA,"Research, Creativity","Figma, UI Design, Adobe XD","Creativity, Adaptability, Critical Thinking",6 years,"Design, User Experience",UI/UX Design,"Detail Oriented, Analytical",Office,51691,Hyderabad,Low,UI/UX Designer
31,Undergraduate,Diploma in Management,"Programming, Analysis","Figma, Photoshop, Canva","Communication, Creativity, Teamwork",8 years,"Marketing, Branding",Digital Marketing,"Curious, Analytical",Remote,107763,Delhi,Low,Marketing Manager
45,Undergraduate,M.Sc,"Research, Communication","Python, SPSS, Research Methods","Teamwork, Creativity, Adaptability",11 years,"Research, Education",Academic Research,"Detail Oriented, Analytical",Hybrid,87547,Remote,High,Academic Researcher
39,Undergraduate,BCA,"Research, Programming","Figma, Photoshop, Canva","Teamwork, Creativity, Adaptability",7 years,"Data Science, Technology",Machine Learning,"Curious, Analytical",Office,98162,Ahmedabad,Medium,Data Scientist
33,Undergraduate,Diploma in Management,"Leadership, Communication","SPSS, Excel, Statistics","Leadership, Time Management, Critical Thinking",9 years,"Marketing, Branding",Marketing,"Creative, Persuasive",Remote,103045,Delhi,Medium,Marketing Manager
37,Undergraduate,B.Des,"Research, Communication","Machine Learning, Python, SQL","Teamwork, Creativity, Adaptability",11 years,"Analytics, Data Science",Machine Learning,"Curious, Analytical",Remote,80606,Delhi,High,Data Scientist
26,Undergraduate,BCA,"Research, Analysis","SEO, Digital Marketing, Excel, UI Design","Problem Solving, Communication",4 years,"Analytics, Data Science",Marketing,"Leadership, Communication",Remote,70257,Ahmedabad,Low,Marketing Manager
30,Diploma,MCA,"Creativity, Communication","SEO, Google Analytics, Social Media","Teamwork, Creativity, Adaptability",0 years,"Branding, Social Media",Marketing,"Creative, Persuasive",Office,93181,Remote,High,Marketing Manager
29,Undergraduate,BCA,"Research, Programming","SEO, Google Analytics, Social Media","Creativity, Adaptability, Critical Thinking",7 years,"Marketing, Branding",Marketing,"Creative, Persuasive",Office,74526,Ahmedabad,Low,Marketing Manager
40,Diploma,B.Des,"Creativity, Communication","Digital Marketing, Excel, Canva","Leadership, Time Management, Critical Thinking",10 years,"Branding, Social Media",Digital Marketing,"Leadership, Communication",Hybrid,79453,Hyderabad,High,Marketing Manager
30,Undergraduate,MCA,"Research, Analysis","SPSS, Excel, Statistics","Communication, Creativity, Teamwork",10 years,"Research, Education",Research,"Analytical, Curious",Office,87279,Pune,High,Academic Researcher
33,Undergraduate,M.Sc,"Research, Programming","Digital Marketing, Excel, Canva","Leadership, Time Management, Critical Thinking",5 years,"Business Intelligence, Analytics",Marketing,"Analytical, Curious",Remote,82245,Delhi,Low,Data Analyst
23,Postgraduate,BA,"Leadership, Programming","SEO, Digital Marketing, Excel, UI Design","Creativity, Adaptability, Critical Thinking",2 years,"Data Science, Technology",Machine Learning,"Analytical, Innovative",Hybrid,77768,Remote,Low,Data Scientist
41,Postgraduate,MBA,"Leadership, Communication","Digital Marketing, Excel, Canva","Communication, Creativity, Teamwork",12 years,"Marketing, Branding",Marketing,"Leadership, Communication",Remote,109354,Ahmedabad,Low,Marketing Manager
41,Diploma,M.Sc,"Creativity, Programming","SQL, Excel, Power BI","Problem Solving, Communication",2 years,"Business Intelligence, Analytics",Business Analytics,"Creative, Detail Oriented",Office,63178,Hyderabad,High,Data Analyst
27,Diploma,MA,"Design, Communication","SQL, Excel, Power BI","Leadership, Time Management, Critical Thinking",6 years,"Business Intelligence, Analytics",UI/UX Design,"Analytical, Curious",Remote,94185,Ahmedabad,Medium,Data Analyst
36,Diploma,BCA,"Leadership, Programming","Figma, Photoshop, Canva","Leadership, Time Management, Critical Thinking",11 years,"Creative Design, User Experience",UI/UX Design,"Creative, Detail Oriented",Remote,95329,Bangalore,Low,UI/UX Designer
42,Diploma,B.Sc,"Research, Analysis","Python, SPSS, Research Methods","Communication, Creativity, Teamwork",11 years,"Education, Research",Research,"Detail Oriented, Analytical",Office,80193,Mumbai,Low,Academic Researcher
44,Diploma,MBA,"Creativity, Communication","Adobe XD, UI Design, Figma","Teamwork, Time Management, Problem Solving",11 years,"Creative Design, User Experience",UI/UX Design,"Innovative, Empathetic",Hybrid,94672,Mumbai,High,UI/UX Designer
30,Diploma,Diploma in Management,"Leadership, Communication","SEO, Google Analytics, Social Media","Communication, Creativity, Teamwork",10 years,"Marketing, Branding",Digital Marketing,"Creative, Persuasive",Remote,101028,Bangalore,Medium,Marketing Manager
39,Undergraduate,B.Des,"Research, Programming","SQL, Tableau, Excel","Problem Solving, Communication",12 years,"Marketing, Branding",Data Analytics,"Detail Oriented, Analytical",Remote,54277,Pune,High,Data Analyst
42,Undergraduate,B.Des,"Research, Creativity","Figma, Photoshop, Canva","Communication, Creativity, Teamwork",14 years,"Research, Education",Data Science,"Innovative, Empathetic",Office,68774,Mumbai,Medium,UI/UX Designer
24,Diploma,MCA,"Programming, Research","Figma, Photoshop, Canva","Leadership, Time Management, Critical Thinking",2 years,"Branding, Social Media",Marketing,"Leadership, Communication",Office,61639,Delhi,Medium,Marketing Manager
22,Undergraduate,BCA,"Communication, Analysis","SEO, Google Analytics, Social Media","Creativity, Adaptability, Critical Thinking",2 years,"Branding, Social Media",Digital Marketing,"Creative, Persuasive",Remote,101717,Pune,High,Marketing Manager
21,Diploma,B.Des,"Creativity, Communication","SEO, Digital Marketing, Excel, UI Design","Problem Solving, Communication",1 year,"Branding, Social Media",UI/UX Design,"Innovative, Empathetic",Office,70098,Ahmedabad,Medium,Marketing Manager
27,Postgraduate,MCA,"Programming, Research","Adobe XD, UI Design, Figma","Leadership, Time Management, Critical Thinking",3 years,"Research, Education",Academic Research,"Creative, Persuasive",Remote,76487,Delhi,Low,Academic Researcher
28,Diploma,Diploma in Management,"Design, Communication","Adobe XD, UI Design, Figma","Teamwork, Time Management, Problem Solving",0 years,"Design, User Experience",Creative Design,"Analytical, Curious",Remote,51551,Delhi,Medium,UI/UX Designer
31,Postgraduate,M.Sc,"Research, Analysis","Research Methods, SPSS, Python, Power BI","Creativity, Adaptability, Critical Thinking",0 years,"Education, Research",Academic Research,"Analytical, Curious",Remote,62962,Ahmedabad,Low,Academic Researcher
44,Undergraduate,BA,"Creativity, Communication","Python, SQL, Excel, MS Office","Communication, Creativity, Teamwork",15 years,"Creative Design, User Experience",UI/UX Design,"Creative, Detail Oriented",Remote,99626,Ahmedabad,Medium,UI/UX Designer
22,Postgraduate,B.Des,"Programming, Research","Research Methods, SPSS, Python, Power BI","Teamwork, Creativity, Adaptability",0 years,"Education, Research",Digital Marketing,"Analytical, Curious",Office,75792,Hyderabad,Low,Academic Researcher
36,Undergraduate,B.Des,"Research, Programming","SQL, Excel, Power BI","Teamwork, Creativity, Adaptability",11 years,"Business, Analytics",Data Analytics,"Analytical, Curious",Office,88101,Mumbai,High,Data Analyst
24,Undergraduate,MA,"Leadership, Communication","SQL, Tableau, Excel","Leadership, Time Management, Critical Thinking",0 years,"Analytics, Data Science",Machine Learning,"Analytical, Innovative",Remote,78072,Bangalore,Low,Data Scientist
30,Diploma,BCA,"Research, Programming","SQL, Tableau, Excel","Creativity, Adaptability, Critical Thinking",4 years,"Research, Education",Business Analytics,"Innovative, Empathetic",Hybrid,70339,Hyderabad,High,Data Analyst
25,Postgraduate,BA,"Research, Programming","Python, SPSS, Research Methods","Creativity, Adaptability, Critical Thinking",3 years,"Analytics, Data Science",Machine Learning,"Curious, Analytical",Remote,88803,Remote,Medium,Data Scientist
34,Diploma,M.Sc,"Leadership, Programming","Python, Machine Learning, Statistics","Communication, Creativity, Teamwork",9 years,"Data Science, Technology",Data Science,"Detail Oriented, Analytical",Remote,99744,Mumbai,High,Data Scientist
45,Diploma,Diploma in Computer,"Creativity, Programming","SPSS, Excel, Statistics","Teamwork, Time Management, Problem Solving",5 years,"Marketing, Branding",UI/UX Design,"Leadership, Communication",Remote,86961,Pune,Low,Marketing Manager
31,Diploma,MCA,"Programming, Analysis","Python, Machine Learning, Statistics","Leadership, Time Management, Critical Thinking",7 years,"Analytics, Data Science",Data Science,"Curious, Analytical",Office,93209,Remote,Medium,Data Scientist
26,Postgraduate,B.Des,"Programming, Analysis","Research Methods, SPSS, Python, Power BI","Problem Solving, Communication",4 years,"Data Science, Technology",Academic Research,"Detail Oriented, Analytical",Remote,56045,Pune,High,Academic Researcher
42,Diploma,MCA,"Research, Programming","Adobe XD, UI Design, Figma","Teamwork, Creativity, Adaptability",5 years,"Creative Design, User Experience",UI/UX Design,"Detail Oriented, Analytical",Office,68673,Remote,Low,UI/UX Designer
36,Undergraduate,Diploma in Computer,"Research, Communication","SPSS, Excel, Statistics","Teamwork, Time Management, Problem Solving",13 years,"Education, Research",Research,"Detail Oriented, Analytical",Remote,59318,Delhi,Low,Academic Researcher
25,Postgraduate,MCA,"Research, Programming","Python, SQL, TensorFlow","Communication, Creativity, Teamwork",1 year,"Data Science, Technology",Data Science,"Analytical, Innovative",Office,104459,Mumbai,Low,Data Scientist
25,Postgraduate,M.Sc,"Creativity, Communication","SEO, Digital Marketing, Excel, UI Design","Communication, Creativity, Teamwork",5 years,"Creative Design, User Experience",Creative Design,"Creative, Detail Oriented",Hybrid,84548,Mumbai,High,UI/UX Designer
35,Postgraduate,B.Sc,"Research, Programming","Machine Learning, Python, SQL","Creativity, Adaptability, Critical Thinking",7 years,"Data Science, Technology",Machine Learning,"Analytical, Innovative",Office,99401,Bangalore,High,Data Scientist
24,Postgraduate,Diploma in Computer,"Research, Communication","SPSS, Excel, Statistics","Teamwork, Creativity, Adaptability",2 years,"Research, Education",Research,"Analytical, Curious",Remote,73371,Delhi,Medium,Academic Researcher
26,Postgraduate,B.Des,"Research, Programming","Python, Machine Learning, Statistics","Communication, Creativity, Teamwork",6 years,"Creative Design, User Experience",Machine Learning,"Creative, Persuasive",Remote,116343,Bangalore,Medium,Data Scientist
29,Diploma,MCA,"Research, Communication","SPSS, Excel, Statistics","Creativity, Adaptability, Critical Thinking",8 years,"Education, Research",Research,"Detail Oriented, Analytical",Remote,78123,Hyderabad,High,Academic Researcher
39,Postgraduate,B.Com,"Programming, Analysis","Python, Machine Learning, Statistics","Communication, Creativity, Teamwork",3 years,"Data Science, Technology",Data Science,"Creative, Detail Oriented",Remote,99470,Ahmedabad,High,Data Scientist
34,Postgraduate,MBA,"Leadership, Communication","Digital Marketing, Excel, Canva","Creativity, Adaptability, Critical Thinking",2 years,"Marketing, Branding",Marketing,"Curious, Analytical",Hybrid,74062,Delhi,Low,Marketing Manager
33,Postgraduate,M.Sc,"Communication, Analysis","SQL, Excel, Power BI","Problem Solving, Communication",9 years,"Business Intelligence, Analytics",Data Analytics,"Detail Oriented, Analytical",Office,93171,Delhi,Medium,Data Analyst
21,Postgraduate,B.Sc,"Creativity, Communication","Adobe XD, UI Design, Figma","Teamwork, Time Management, Problem Solving",0 years,"Business Intelligence, Analytics",Creative Design,"Creative, Detail Oriented",Remote,68350,Pune,Medium,UI/UX Designer
32,Undergraduate,BA,"Creativity, Communication","Figma, UI Design, Adobe XD","Teamwork, Time Management, Problem Solving",5 years,"Branding, Social Media",Academic Research,"Curious, Analytical",Hybrid,76885,Ahmedabad,Medium,Marketing Manager
42,Diploma,B.Sc,"Creativity, Communication","Figma, UI Design, Adobe XD","Creativity, Adaptability, Critical Thinking",15 years,"Branding, Social Media",Creative Design,"Creative, Detail Oriented",Remote,72899,Bangalore,High,UI/UX Designer
40,Undergraduate,B.Com,"Programming, Research","Python, SPSS, Research Methods","Problem Solving, Communication",8 years,"Education, Research",Research,"Analytical, Curious",Office,43744,Ahmedabad,High,Academic Researcher
33,Diploma,M.Sc,"Analysis, Programming","Python, SQL, Excel, MS Office","Teamwork, Creativity, Adaptability",5 years,"Business, Analytics",Data Analytics,"Curious, Analytical",Hybrid,51182,Bangalore,Medium,Data Analyst
40,Diploma,B.Sc,"Creativity, Programming","Figma, UI Design, Adobe XD","Problem Solving, Communication",7 years,"Branding, Social Media",Data Analytics,"Innovative, Empathetic",Hybrid,84956,Remote,Low,Data Analyst
23,Postgraduate,BA,"Programming, Analysis","SQL, Tableau, Excel","Problem Solving, Communication",2 years,"Marketing, Branding",Digital Marketing,"Leadership, Communication",Remote,71624,Remote,High,Marketing Manager
41,Diploma,BBA,"Leadership, Communication","Python, SQL, TensorFlow","Communication, Creativity, Teamwork",6 years,"Research, Education",Digital Marketing,"Leadership, Communication",Hybrid,106940,Hyderabad,Low,Marketing Manager
30,Postgraduate,MCA,"Research, Programming","Python, Machine Learning, Statistics","Problem Solving, Communication",4 years,"Data Science, Technology",Data Science,"Analytical, Innovative",Hybrid,90151,Mumbai,Low,Data Scientist
39,Undergraduate,M.Sc,"Leadership, Programming","Python, Machine Learning, Statistics","Teamwork, Time Management, Problem Solving",7 years,"Analytics, Data Science",Data Science,"Analytical, Innovative",Remote,120502,Pune,Medium,Data Scientist
22,Undergraduate,MCA,"Leadership, Programming","Machine Learning, Python, SQL","Leadership, Time Management, Critical Thinking",2 years,"Data Science, Technology",Data Science,"Curious, Analytical",Remote,94875,Hyderabad,Low,Data Scientist
38,Postgraduate,BCA,"Research, Analysis","SPSS, Excel, Statistics","Teamwork, Time Management, Problem Solving",1 year,"Research, Education",Academic Research,"Analytical, Curious",Remote,51646,Remote,Medium,Academic Researcher
25,Undergraduate,B.Sc,"Research, Communication","SPSS, Excel, Statistics","Teamwork, Time Management, Problem Solving",1 year,"Research, Education",Academic Research,"Analytical, Curious",Hybrid,48139,Pune,Low,Academic Researcher
44,Diploma,BBA,"Research, Programming","SQL, Tableau, Excel","Problem Solving, Communication",0 years,"Business Intelligence, Analytics",Digital Marketing,"Analytical, Innovative",Remote,80299,Remote,High,Data Analyst
27,Postgraduate,BBA,"Creativity, Programming","SQL, Tableau, Excel","Communication, Creativity, Teamwork",3 years,"Business Intelligence, Analytics",Data Analytics,"Detail Oriented, Analytical",Remote,91057,Pune,Medium,Data Analyst
30,Postgraduate,M.Sc,"Leadership, Programming","SEO, Digital Marketing, Excel, UI Design","Leadership, Time Management, Critical Thinking",9 years,"Branding, Social Media",Digital Marketing,"Creative, Persuasive",Office,88726,Hyderabad,Low,Marketing Manager
45,Diploma,B.Com,"Programming, Research","SPSS, Excel, Statistics","Teamwork, Time Management, Problem Solving",10 years,"Education, Research",Academic Research,"Analytical, Curious",Hybrid,54207,Hyderabad,High,Academic Researcher
27,Undergraduate,BBA,"Programming, Research","Figma, UI Design, Adobe XD","Teamwork, Time Management, Problem Solving",4 years,"Education, Research",Research,"Detail Oriented, Analytical",Office,67505,Mumbai,High,Academic Researcher
30,Diploma,BBA,"Research, Programming","Adobe XD, UI Design, Figma","Teamwork, Time Management, Problem Solving",4 years,"Data Science, Technology",Data Analytics,"Creative, Detail Oriented",Hybrid,72312,Delhi,Medium,UI/UX Designer
40,Diploma,Diploma in Computer,"Creativity, Communication","SEO, Google Analytics, Social Media","Communication, Creativity, Teamwork",11 years,"Data Science, Technology",Digital Marketing,"Creative, Persuasive",Office,76712,Delhi,Low,Marketing Manager
28,Diploma,Diploma in Management,"Research, Programming","Python, SQL, Excel, MS Office","Problem Solving, Communication",8 years,"Business, Analytics",Marketing,"Detail Oriented, Analytical",Office,61193,Mumbai,Medium,Data Analyst
25,Undergraduate,Diploma in Computer,"Creativity, Programming","Python, SQL, TensorFlow","Teamwork, Creativity, Adaptability",1 year,"Business Intelligence, Analytics",Machine Learning,"Curious, Analytical",Office,76421,Ahmedabad,Low,Data Scientist
